tahun,bulan,provinsi,kelompok,volume,,,,,
2023,Juni,Jawa Tengah,Hutan Tanaman Industri,0,,,,,
2023,Juni,Jawa Timur,Hutan Tanaman Industri,0,,,,,
2023,Juni,Kalimantan Barat,Hutan Tanaman Industri,0,,,,,
2023,Juni,Kalimantan Selatan,Hutan Tanaman Industri,0,,,,,
2023,Juni,Kalimantan Tengah,Hutan Tanaman Industri,0,,,,,
2023,Juni,Kalimantan Timur,Hutan Tanaman Industri,0,,,,,
2023,Juni,Kalimantan Utara,Hutan Tanaman Industri,0,,,,,
2023,Juni,Lampung,Hutan Tanaman Industri,0,,,,,
2023,Juni,Nusa Tenggara Barat,Hutan Tanaman Industri,0,,,,,
2023,Juni,Papua,Hutan Tanaman Industri,0,,,,,
2023,Juni,Riau,Hutan Tanaman Industri,0,,,,,
2023,Juni,Sumatera Barat,Hutan Tanaman Industri,0,,,,,
2023,Juni,Sumatera Selatan,Hutan Tanaman Industri,0,,,,,
2023,Juni,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,Juli,Banten,Hutan Tanaman Industri,0,,,,,
2023,Juli,Jambi,Hutan Tanaman Industri,0,,,,,
2023,Juli,Jawa Barat,Hutan Tanaman Industri,0,,,,,
2023,Juli,Jawa Tengah,Hutan Tanaman Industri,0,,,,,
2023,Juli,Jawa Timur,Hutan Tanaman Industri,0,,,,,
2023,Juli,Kalimantan Barat,Hutan Tanaman Industri,0,,,,,
2023,Juli,Kalimantan Selatan,Hutan Tanaman Industri,0,,,,,
2023,Juli,Kalimantan Tengah,Hutan Tanaman Industri,0,,,,,
2023,Juli,Kalimantan Timur,Hutan Tanaman Industri,0,,,,,
2023,Juli,Kalimantan Utara,Hutan Tanaman Industri,0,,,,,
2023,Juli,Lampung,Hutan Tanaman Industri,0,,,,,
2023,Juli,Nusa Tenggara Barat,Hutan Tanaman Industri,0,,,,,
2023,Juli,Papua,Hutan Tanaman Industri,0,,,,,
2023,Juli,Riau,Hutan Tanaman Industri,0,,,,,
2023,Juli,Sumatera Barat,Hutan Tanaman Industri,0,,,,,
2023,Juli,Sumatera Selatan,Hutan Tanaman Industri,0,,,,,
2023,Juli,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Banten,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Jambi,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Jawa Barat,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Jawa Tengah,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Jawa Timur,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Kalimantan Barat,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Kalimantan Selatan,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Kalimantan Tengah,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Kalimantan Timur,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Kalimantan Utara,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Lampung,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Nusa Tenggara Barat,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Papua,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Riau,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Sumatera Barat,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Sumatera Selatan,Hutan Tanaman Industri,0,,,,,
2023,Agustus,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,September,Banten,Hutan Tanaman Industri,0,,,,,
2023,September,Jambi,Hutan Tanaman Industri,0,,,,,
2023,September,Jawa Barat,Hutan Tanaman Industri,0,,,,,
2023,September,Jawa Tengah,Hutan Tanaman Industri,0,,,,,
2023,September,Jawa Timur,Hutan Tanaman Industri,0,,,,,
2023,September,Kalimantan Barat,Hutan Tanaman Industri,0,,,,,
2023,September,Kalimantan Selatan,Hutan Tanaman Industri,0,,,,,
2023,September,Kalimantan Tengah,Hutan Tanaman Industri,0,,,,,
2023,September,Kalimantan Timur,Hutan Tanaman Industri,0,,,,,
2023,September,Kalimantan Utara,Hutan Tanaman Industri,0,,,,,
2023,September,Lampung,Hutan Tanaman Industri,0,,,,,
2023,September,Nusa Tenggara Barat,Hutan Tanaman Industri,0,,,,,
2023,September,Papua,Hutan Tanaman Industri,0,,,,,
2023,September,Riau,Hutan Tanaman Industri,0,,,,,
2023,September,Sumatera Barat,Hutan Tanaman Industri,0,,,,,
2023,September,Sumatera Selatan,Hutan Tanaman Industri,0,,,,,
2023,September,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Banten,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Jambi,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Jawa Barat,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Jawa Tengah,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Jawa Timur,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Kalimantan Barat,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Kalimantan Selatan,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Kalimantan Tengah,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Kalimantan Timur,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Kalimantan Utara,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Lampung,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Nusa Tenggara Barat,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Papua,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Riau,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Sumatera Barat,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Sumatera Selatan,Hutan Tanaman Industri,0,,,,,
2023,Oktober,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,November,Banten,Hutan Tanaman Industri,0,,,,,
2023,November,Jambi,Hutan Tanaman Industri,0,,,,,
2023,November,Jawa Barat,Hutan Tanaman Industri,0,,,,,
2023,November,Jawa Tengah,Hutan Tanaman Industri,0,,,,,
2023,November,Jawa Timur,Hutan Tanaman Industri,0,,,,,
2023,November,Kalimantan Barat,Hutan Tanaman Industri,0,,,,,
2023,November,Kalimantan Selatan,Hutan Tanaman Industri,0,,,,,
2023,November,Kalimantan Tengah,Hutan Tanaman Industri,0,,,,,
2023,November,Kalimantan Timur,Hutan Tanaman Industri,0,,,,,
2023,November,Kalimantan Utara,Hutan Tanaman Industri,0,,,,,
2023,November,Lampung,Hutan Tanaman Industri,0,,,,,
2023,November,Nusa Tenggara Barat,Hutan Tanaman Industri,0,,,,,
2023,November,Papua,Hutan Tanaman Industri,0,,,,,
2023,November,Riau,Hutan Tanaman Industri,0,,,,,
2023,November,Sumatera Barat,Hutan Tanaman Industri,0,,,,,
2023,November,Sumatera Selatan,Hutan Tanaman Industri,0,,,,,
2023,November,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,Desember,Banten,Hutan Tanaman Industri,0,,,,,
2023,Desember,Jambi,Hutan Tanaman Industri,0,,,,,
2023,Desember,Jawa Barat,Hutan Tanaman Industri,0,,,,,
2023,Desember,Jawa Tengah,Hutan Tanaman Industri,0,,,,,
2023,Desember,Jawa Timur,Hutan Tanaman Industri,0,,,,,
2023,Desember,Kalimantan Barat,Hutan Tanaman Industri,0,,,,,
2023,Desember,Kalimantan Selatan,Hutan Tanaman Industri,0,,,,,
2023,Desember,Kalimantan Tengah,Hutan Tanaman Industri,0,,,,,
2023,Desember,Kalimantan Timur,Hutan Tanaman Industri,0,,,,,
2023,Desember,Kalimantan Utara,Hutan Tanaman Industri,0,,,,,
2023,Desember,Lampung,Hutan Tanaman Industri,0,,,,,
2023,Desember,Nusa Tenggara Barat,Hutan Tanaman Industri,0,,,,,
2023,Desember,Papua,Hutan Tanaman Industri,0,,,,,
2023,Desember,Riau,Hutan Tanaman Industri,0,,,,,
2023,Desember,Sumatera Barat,Hutan Tanaman Industri,0,,,,,
2023,Desember,Sumatera Selatan,Hutan Tanaman Industri,0,,,,,
2023,Desember,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,Januari,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Februari,Kalimantan Tengah,Jenis Dilindungi,6,,,,,
2023,Maret,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,April,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Mei,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Juni,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Juli,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Agustus,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,September,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Oktober,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,November,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Desember,Kalimantan Tengah,Jenis Dilindungi,0,,,,,
2023,Januari,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Januari,Kalimantan Tengah,Jenis Kayu Lainnya,15,,,,,
2023,Januari,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,Januari,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Januari,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Februari,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Februari,Kalimantan Tengah,Jenis Kayu Lainnya,22,,,,,
2023,Februari,Kalimantan Timur,Jenis Kayu Lainnya,5,,,,,
2023,Februari,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Februari,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Maret,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Maret,Kalimantan Tengah,Jenis Kayu Lainnya,29,,,,,
2023,Maret,Kalimantan Timur,Jenis Kayu Lainnya,1,,,,,
2023,Maret,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Maret,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,April,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,April,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,April,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,April,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,April,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Mei,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Mei,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,Mei,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,Mei,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Mei,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Juni,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Juni,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,Juni,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,Juni,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Juni,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Juli,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Juli,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,Juli,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,Juli,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Juli,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Agustus,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Agustus,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,Agustus,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,Agustus,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Agustus,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,September,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,September,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,September,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,September,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,September,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Oktober,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Oktober,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,Oktober,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,Oktober,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Oktober,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,November,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,November,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,November,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,November,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,November,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Desember,Kalimantan Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Desember,Kalimantan Tengah,Jenis Kayu Lainnya,0,,,,,
2023,Desember,Kalimantan Timur,Jenis Kayu Lainnya,0,,,,,
2023,Desember,Sulawesi Tenggara,Jenis Kayu Lainnya,0,,,,,
2023,Desember,Sumatera Selatan,Jenis Kayu Lainnya,0,,,,,
2023,Januari,Banten,Jenis Khusus,136,,,,,
2023,Januari,Gorontalo,Jenis Khusus,2,,,,,
2023,Januari,Jawa Barat,Jenis Khusus,9533,,,,,
2023,Januari,Jawa Tengah,Jenis Khusus,28286,,,,,
2023,Januari,Jawa Timur,Jenis Khusus,33414,,,,,
2023,Januari,Kalimantan Tengah,Jenis Khusus,0,,,,,
2023,Januari,Kalimantan Timur,Jenis Khusus,320,,,,,
2023,Januari,Kepulauan Riau,Jenis Khusus,6,,,,,
2023,Januari,Maluku,Jenis Khusus,0,,,,,
2023,Januari,Maluku Utara,Jenis Khusus,0,,,,,
2023,Januari,Nangroe Aceh Darussalam,Jenis Khusus,0,,,,,
2023,Januari,Papua,Jenis Khusus,3582,,,,,
2023,Januari,Papua Barat,Jenis Khusus,5171,,,,,
2023,Januari,Riau,Jenis Khusus,350,,,,,
2023,Januari,Sulawesi Selatan,Jenis Khusus,0,,,,,
2023,Januari,Sumatera Utara,Jenis Khusus,8,,,,,
2023,Februari,Banten,Jenis Khusus,0,,,,,
2023,Februari,Gorontalo,Jenis Khusus,3,,,,,
2023,Februari,Jawa Barat,Jenis Khusus,8553,,,,,
2023,Februari,Jawa Tengah,Jenis Khusus,30061,,,,,
2023,Februari,Jawa Timur,Jenis Khusus,35364,,,,,
2023,Februari,Kalimantan Tengah,Jenis Khusus,4,,,,,
2023,Februari,Kalimantan Timur,Jenis Khusus,117,,,,,
2023,Februari,Kepulauan Riau,Jenis Khusus,21,,,,,
2023,Februari,Maluku,Jenis Khusus,121,,,,,
2023,Februari,Maluku Utara,Jenis Khusus,0,,,,,
2023,Februari,Nangroe Aceh Darussalam,Jenis Khusus,0,,,,,
2023,Februari,Papua,Jenis Khusus,6730,,,,,
2023,Februari,Papua Barat,Jenis Khusus,12758,,,,,
2023,Februari,Riau,Jenis Khusus,0,,,,,
2023,Februari,Sulawesi Selatan,Jenis Khusus,0,,,,,
2023,Februari,Sumatera Utara,Jenis Khusus,9,,,,,
2023,Maret,Banten,Jenis Khusus,154,,,,,
2023,Maret,Gorontalo,Jenis Khusus,0,,,,,
2023,Maret,Jawa Barat,Jenis Khusus,10398,,,,,
2023,Maret,Jawa Tengah,Jenis Khusus,32592,,,,,
2023,Maret,Jawa Timur,Jenis Khusus,34459,,,,,
2023,Maret,Kalimantan Tengah,Jenis Khusus,0,,,,,
2023,Maret,Kalimantan Timur,Jenis Khusus,23,,,,,
2023,Maret,Kepulauan Riau,Jenis Khusus,40,,,,,
2023,Maret,Maluku,Jenis Khusus,105,,,,,
2023,Maret,Maluku Utara,Jenis Khusus,0,,,,,
2023,Maret,Nangroe Aceh Darussalam,Jenis Khusus,608,,,,,
2023,Maret,Papua,Jenis Khusus,6327,,,,,
2023,Maret,Papua Barat,Jenis Khusus,15322,,,,,
2023,Maret,Riau,Jenis Khusus,0,,,,,
2023,Maret,Sulawesi Selatan,Jenis Khusus,1,,,,,
2023,Maret,Sumatera Utara,Jenis Khusus,234,,,,,
2023,April,Banten,Jenis Khusus,51,,,,,
2023,April,Gorontalo,Jenis Khusus,0,,,,,
2023,April,Jawa Barat,Jenis Khusus,7481,,,,,
2023,April,Jawa Tengah,Jenis Khusus,35307,,,,,
2023,April,Jawa Timur,Jenis Khusus,21710,,,,,
2023,April,Kalimantan Tengah,Jenis Khusus,0,,,,,
2023,April,Kalimantan Timur,Jenis Khusus,2,,,,,
2023,April,Kepulauan Riau,Jenis Khusus,0,,,,,
2023,April,Maluku,Jenis Khusus,21,,,,,
2023,April,Maluku Utara,Jenis Khusus,2,,,,,
2023,April,Nangroe Aceh Darussalam,Jenis Khusus,487,,,,,
2023,April,Papua,Jenis Khusus,5951,,,,,
2023,April,Papua Barat,Jenis Khusus,13765,,,,,
2023,April,Riau,Jenis Khusus,0,,,,,
2023,April,Sulawesi Selatan,Jenis Khusus,0,,,,,
2023,April,Sumatera Utara,Jenis Khusus,331,,,,,
2023,Mei,Banten,Jenis Khusus,0,,,,,
2023,Mei,Gorontalo,Jenis Khusus,0,,,,,
2023,Mei,Jawa Barat,Jenis Khusus,0,,,,,
2023,Mei,Jawa Tengah,Jenis Khusus,0,,,,,
2023,Mei,Jawa Timur,Jenis Khusus,0,,,,,
2023,Mei,Kalimantan Tengah,Jenis Khusus,0,,,,,
2023,Mei,Kalimantan Timur,Jenis Khusus,0,,,,,
2023,Mei,Kepulauan Riau,Jenis Khusus,0,,,,,
2023,Mei,Maluku,Jenis Khusus,0,,,,,
2023,Mei,Maluku Utara,Jenis Khusus,0,,,,,
2023,Mei,Nangroe Aceh Darussalam,Jenis Khusus,0,,,,,
2023,Mei,Papua,Jenis Khusus,0,,,,,
2023,Mei,Papua Barat,Jenis Khusus,0,,,,,
2023,Mei,Riau,Jenis Khusus,0,,,,,
2023,Mei,Sulawesi Selatan,Jenis Khusus,0,,,,,
2023,Mei,Sumatera Utara,Jenis Khusus,0,,,,,
2023,Juni,Banten,Jenis Khusus,0,,,,,
2023,Juni,Gorontalo,Jenis Khusus,0,,,,,
2023,Juni,Jawa Barat,Jenis Khusus,0,,,,,
2023,Juni,Jawa Tengah,Jenis Khusus,0,,,,,
2023,Juni,Jawa Timur,Jenis Khusus,0,,,,,
2023,Juni,Kalimantan Tengah,Jenis Khusus,0,,,,,
2023,Juni,Kalimantan Timur,Jenis Khusus,0,,,,,
2023,Juni,Kepulauan Riau,Jenis Khusus,0,,,,,
2023,Juni,Maluku,Jenis Khusus,0,,,,,
2023,Juni,Maluku Utara,Jenis Khusus,0,,,,,
2023,Juni,Nangroe Aceh Darussalam,Jenis Khusus,0,,,,,
2023,Juni,Papua,Jenis Khusus,0,,,,,
2023,Juni,Papua Barat,Jenis Khusus,0,,,,,
2023,Juni,Riau,Jenis Khusus,0,,,,,
2023,Juni,Sulawesi Selatan,Jenis Khusus,0,,,,,
2023,Juni,Sumatera Utara,Jenis Khusus,0,,,,,
2023,Juli,Banten,Jenis Khusus,0,,,,,
2023,Juli,Gorontalo,Jenis Khusus,0,,,,,
2023,Juli,Jawa Barat,Jenis Khusus,0,,,,,
2023,Juli,Jawa Tengah,Jenis Khusus,0,,,,,
2023,Juli,Jawa Timur,Jenis Khusus,0,,,,,
2023,Juli,Kalimantan Tengah,Jenis Khusus,0,,,,,
2023,Juli,Kalimantan Timur,Jenis Khusus,0,,,,,
2023,Juli,Kepulauan Riau,Jenis Khusus,0,,,,,
2023,Juli,Maluku,Jenis Khusus,0,,,,,
2023,Juli,Maluku Utara,Jenis Khusus,0,,,,,
2023,Juli,Nangroe Aceh Darussalam,Jenis Khusus,0,,,,,
2023,Juli,Papua,Jenis Khusus,0,,,,,
2023,Juli,Papua Barat,Jenis Khusus,0,,,,,
2023,Juli,Riau,Jenis Khusus,0,,,,,
2023,Juli,Sulawesi Selatan,Jenis Khusus,0,,,,,
2023,Juli,Sumatera Utara,Jenis Khusus,0,,,,,
2023,Agustus,Banten,Jenis Khusus,0,,,,,
2023,Agustus,Gorontalo,Jenis Khusus,0,,,,,
2023,Agustus,Jawa Barat,Jenis Khusus,0,,,,,
2023,Agustus,Jawa Tengah,Jenis Khusus,0,,,,,
2023,Agustus,Jawa Timur,Jenis Khusus,0,,,,,
2023,Agustus,Kalimantan Tengah,Jenis Khusus,0,,,,,
2023,Agustus,Kalimantan Timur,Jenis Khusus,0,,,,,
2023,Agustus,Kepulauan Riau,Jenis Khusus,0,,,,,
2023,Agustus,Maluku,Jenis Khusus,0,,,,,
2023,Agustus,Maluku Utara,Jenis Khusus,0,,,,,
2023,Agustus,Nangroe Aceh Darussalam,Jenis Khusus,0,,,,,
2023,Agustus,Papua,Jenis Khusus,0,,,,,
2023,Agustus,Papua Barat,Jenis Khusus,0,,,,,
2023,Agustus,Riau,Jenis Khusus,0,,,,,
2023,Agustus,Sulawesi Selatan,Jenis Khusus,0,,,,,
